cw	pmi_4	raw_4	freq
Abstieg/NN	0.16370586	2	5794
Abstrich/NN	0.048806064	1	3169
Abströmens/NN	7.3075705	1	2
Absud/NN	4.2932615	1	47
Absurde/NN	1.3942362	1	845
Abt/NN	0.4659882	2	4289
Abteil/NN	1.0358732	1	1198
Abteilung/NN	-2.4141967	1	36219
Abtransport/NN	0.8187453	1	1436
Abtropfen/NN	4.1334305	2	148
Abt/NN	5.505448	1	13
Abwasser/NN	0.46228898	2	4106
Abwechslung./NN	5.5262823	1	12
Abwechslung/NN	1.0677819	6	7220
Abweichung/NN	-1.4229686	1	13839
Abwesenheit/NN	-0.9359588	1	8197
Abwägen/NN	2.8779943	3	551
Abwägung/NN	-0.61614007	1	5965
Abwärme/NN	1.9480402	1	473
Abwässer/NN	0.92935634	1	1288
Abzugsmöglichkeit/NN	3.3243902	1	117
Accra/NN	2.727077	1	214
Achselhöhle/NN	1.8070776	1	540
Achte/NN	0.47440383	1	2233
Achtsamkeit/NN	1.4425197	1	810
Achtung/NN	-0.008936385	4	19747
Achtungsvolles/ADJ	8.693865	1	1
Acker/NN	0.66987544	3	5026
Ackererde/NN	3.6520536	1	83
Adam/NE	-1.5020593	1	15718
Adamanth/NE	5.637508	1	12
Addis/NE	1.6522343	1	619
Adel/NN	-0.724526	1	6803
Adelbert/NE	3.0917459	1	154
Adelindis-Therme/NN	8.000717	1	1
Adelsschwester/NN	7.4411016	1	2
Adenauerschen/NN	4.757149	1	27
Ader/NN	1.5340383	4	2866
Aderlaß/NN	1.8746674	1	520
Adersaft/NN	8.134249	1	1
